Institution name,FTE of submitted staff,GPA,search_name,alt_name,editors,Allied Academies,American Psychological Association,American Society of Civil Engineers,BioMedCentral,Cambridge University Press,eLife,Elsevier,Emerald,Frontiers,Hindawi,IGI Global,iMedPub,Inderscience,John Benjamins,Karger,Longdom,MDPI,PeerJ,Pleiades,PLOS,SAGE,SCIRP,Brill,Springer Nature,Royal Society of Chemistry,SciTechnol,All
University of Ulster,558.27,3.16,University of Ulster,,1.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,30.0,1.0,4.0,4.0,1.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,18.0,2.0,0.0,0.0,1.0,1.0,89.0
University of Dundee,461.25,3.145,University of Dundee,,38.0,1.0,0.0,0.0,3.0,8.0,1.0,38.0,4.0,118.0,4.0,1.0,0.0,7.0,0.0,0.0,2.0,3.0,1.0,0.0,7.0,27.0,0.0,4.0,1.0,0.0,0.0,230.0
University of Stirling,446.47,3.1399999999999997,University of Stirling,,14.0,0.0,0.0,0.0,4.0,10.0,0.0,14.0,14.0,63.0,2.0,1.0,0.0,8.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,31.0,0.0,3.0,0.0,0.0,0.0,157.0
"City, University of London",495.69,3.1399999999999997,"City, University of London",,1.0,0.0,1.0,0.0,2.0,12.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,26.0,0.0,3.0,0.0,0.0,0.0,52.0
Manchester Metropolitan University,679.19,3.105,Manchester Metropolitan University,,30.0,0.0,0.0,0.0,5.0,4.0,0.0,30.0,24.0,85.0,3.0,6.0,0.0,17.0,2.0,0.0,2.0,7.0,2.0,0.0,4.0,43.0,2.0,0.0,1.0,1.0,2.0,240.0
The University of Hull,333.87,3.0999999999999996,University of Hull,,28.0,0.0,1.0,0.0,1.0,4.0,0.0,28.0,8.0,64.0,4.0,2.0,1.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,25.0,1.0,1.0,0.0,2.0,0.0,163.0
University of Northumbria at Newcastle,1055.84,3.0899999999999994,University of Northumbria at Newcastle,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Nottingham Trent University,395.14,3.08,Nottingham Trent University,,19.0,0.0,0.0,0.0,6.0,2.0,0.0,19.0,17.0,114.0,4.0,5.0,0.0,15.0,2.0,0.0,0.0,7.0,3.0,0.0,3.0,32.0,0.0,0.0,0.0,0.0,1.0,230.0
Birkbeck College,418.01,3.08,Birkbeck College,,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,32.0
Bangor University / Prifysgol Bangor,270.57,3.0799999999999996,Bangor University / Prifysgol Bangor,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roehampton University,218.25,3.0700000000000003,Roehampton University,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0
University for the Creative Arts,46.7,3.0599999999999996,University for the Creative Arts,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
University of Hertfordshire,321.09,3.03,University of Hertfordshire,,18.0,0.0,0.0,0.0,1.0,5.0,0.0,18.0,7.0,84.0,5.0,4.0,1.0,6.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,24.0,1.0,2.0,0.0,0.0,1.0,165.0
University of Aberdeen,698.13,3.0249999999999995,University of Aberdeen,,64.0,0.0,1.0,0.0,10.0,7.0,0.0,64.0,11.0,163.0,7.0,2.0,1.0,5.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,40.0,1.0,4.0,0.0,1.0,2.0,331.0
Heriot-Watt University,422.42,3.0199999999999996,Heriot-Watt University,,38.0,0.0,0.0,0.0,1.0,7.0,0.0,38.0,18.0,74.0,0.0,5.0,0.0,8.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,1.0,1.0,178.0
Goldsmiths' College,415.27,3.0149999999999997,Goldsmiths' College,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Open University,649.46,3.0100000000000002,Open University,,62.0,0.0,4.0,0.0,3.0,17.0,0.0,62.0,28.0,200.0,4.0,22.0,2.0,37.0,9.0,0.0,2.0,3.0,3.0,0.0,3.0,106.0,4.0,8.0,1.0,1.0,0.0,519.0
"University of Salford, The",290.52,3.01,"University of Salford, The",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of Brighton,377.11,3.01,University of Brighton,,20.0,0.0,0.0,0.0,3.0,0.0,0.0,20.0,6.0,57.0,6.0,4.0,0.0,7.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,31.0,0.0,2.0,0.0,0.0,0.0,142.0
Royal College of Music,22.28,3.01,Royal College of Music,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0
Coventry University,451.93,3.005,Coventry University,,24.0,0.0,0.0,0.0,4.0,1.0,0.0,24.0,20.0,83.0,1.0,10.0,0.0,20.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,17.0,0.0,4.0,0.0,0.0,0.0,192.0
University of Plymouth,440.03,3.0,University of Plymouth,,49.0,0.0,0.0,0.0,1.0,2.0,0.0,49.0,4.0,87.0,2.0,7.0,0.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,24.0,2.0,0.0,0.0,6.0,0.0,195.0
Royal College of Art(The),122.25,2.9899999999999998,Royal College of Art(The),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston University,435.36,2.9899999999999998,Aston University,,34.0,0.0,0.0,0.0,4.0,3.0,0.0,34.0,12.0,92.0,2.0,4.0,1.0,15.0,5.0,0.0,5.0,5.0,0.0,1.0,2.0,29.0,0.0,3.0,2.0,0.0,2.0,221.0
University of the Highlands and Islands,116.44,2.98,University of the Highlands and Islands,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0
University of Portsmouth,573.81,2.965,University of Portsmouth,,27.0,0.0,1.0,0.0,2.0,4.0,0.0,27.0,21.0,57.0,3.0,7.0,0.0,13.0,1.0,0.0,1.0,3.0,1.0,0.0,4.0,41.0,0.0,2.0,0.0,0.0,1.0,189.0
Aberystwyth University / Prifysgol Aberystwyth,307.77,2.96,Aberystwyth University / Prifysgol Aberystwyth,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norwich University of the Arts,18.1,2.96,Norwich University of the Arts,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The University of Westminster,393.08,2.9400000000000004,University of Westminster,,22.0,0.0,0.0,0.0,1.0,4.0,0.0,22.0,5.0,50.0,0.0,6.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,20.0,0.0,3.0,0.0,0.0,0.0,123.0
University of Lincoln,380.26,2.925,University of Lincoln,,14.0,0.0,0.0,0.0,1.0,5.0,0.0,14.0,12.0,78.0,0.0,11.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,29.0,2.0,1.0,0.0,0.0,0.0,178.0
Trinity Laban Conservatoire of Music and Dance,12.6,2.9200000000000004,Trinity Laban Conservatoire of Music and Dance,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
